Model,N_features,CV_RMSE,CV_MAE,CV_R2,Test_RMSE,Test_MAE,Test_R2
LightGBM,33,31409.0,24114.0,0.3246,26274.0,19798.0,0.4229
LightGBM,34,31151.0,24019.0,0.3358,26972.0,20310.0,0.3918
LightGBM,35,30853.0,23730.0,0.3485,26843.0,20208.0,0.3976
LightGBM,36,30625.0,23501.0,0.3583,26377.0,19770.0,0.4183
LightGBM,37,30650.0,23559.0,0.3574,26190.0,19545.0,0.4266
LightGBM,38,30982.0,23781.0,0.3429,26332.0,19776.0,0.4203
LightGBM,39,30781.0,23586.0,0.3516,26499.0,19808.0,0.413
LightGBM,40,30653.0,23516.0,0.3574,26352.0,19693.0,0.4194
LightGBM,41,30954.0,23724.0,0.3447,26236.0,19656.0,0.4245
LightGBM,42,31058.0,23787.0,0.3403,26070.0,19706.0,0.4318
LightGBM,43,31135.0,23863.0,0.3367,26355.0,19935.0,0.4193
LightGBM,44,30965.0,23716.0,0.3441,25906.0,19448.0,0.4389
LightGBM,45,30928.0,23756.0,0.3455,25895.0,19485.0,0.4394
LightGBM,46,30741.0,23656.0,0.3533,26238.0,19716.0,0.4245
LightGBM,47,30739.0,23496.0,0.3534,26304.0,19889.0,0.4216
LightGBM,48,30767.0,23668.0,0.3524,26878.0,20325.0,0.3961
LightGBM,49,30633.0,23497.0,0.3581,26241.0,20141.0,0.4243
LightGBM,50,30575.0,23448.0,0.3605,26343.0,19894.0,0.4198
LightGBM,51,30533.0,23490.0,0.3622,26382.0,20000.0,0.4181
LightGBM,52,30583.0,23522.0,0.3601,26486.0,19954.0,0.4135
LightGBM,53,30754.0,23657.0,0.353,26288.0,19816.0,0.4223
LightGBM,54,30506.0,23385.0,0.3641,26241.0,19886.0,0.4244
LightGBM,55,30569.0,23420.0,0.3608,26389.0,20115.0,0.4178
LightGBM,56,30587.0,23463.0,0.3597,26087.0,19696.0,0.4311
LightGBM,57,30681.0,23416.0,0.3557,26555.0,19950.0,0.4105
LightGBM,58,30521.0,23369.0,0.3626,26351.0,20075.0,0.4195
LightGBM,59,30513.0,23252.0,0.363,26177.0,19928.0,0.4271
LightGBM,60,30730.0,23417.0,0.3542,26500.0,20134.0,0.4129
LightGBM,61,30621.0,23355.0,0.358,26402.0,20037.0,0.4172
LightGBM,62,30434.0,23214.0,0.3663,26448.0,20054.0,0.4152
LightGBM,63,30479.0,23260.0,0.3645,26138.0,19830.0,0.4289
LightGBM,64,30583.0,23360.0,0.3598,26172.0,19926.0,0.4274
LightGBM,65,30583.0,23360.0,0.3598,26172.0,19926.0,0.4274
LightGBM,66,30391.0,23226.0,0.3682,26495.0,20212.0,0.4132
LightGBM,67,30599.0,23374.0,0.3595,26077.0,19942.0,0.4315
LightGBM,68,30398.0,23228.0,0.368,26386.0,19936.0,0.418
LightGBM,69,30501.0,23295.0,0.3633,26209.0,19849.0,0.4258
LightGBM,70,30676.0,23449.0,0.3562,25674.0,19342.0,0.4489
LightGBM,71,30434.0,23291.0,0.3663,26303.0,20122.0,0.4216
LightGBM,72,30603.0,23307.0,0.3591,25829.0,19696.0,0.4423
LightGBM,73,30596.0,23417.0,0.3595,25854.0,19740.0,0.4412
LightGBM,74,30607.0,23403.0,0.359,26210.0,19930.0,0.4257
LightGBM,75,30465.0,23311.0,0.3649,26432.0,20236.0,0.4159
LightGBM,76,30416.0,23230.0,0.3668,26090.0,19804.0,0.431
LightGBM,77,30416.0,23230.0,0.3668,26090.0,19804.0,0.431
LightGBM,78,30578.0,23316.0,0.3603,26183.0,19752.0,0.4269
LightGBM,79,30542.0,23373.0,0.3614,26008.0,19610.0,0.4345
LightGBM,80,30515.0,23271.0,0.3628,26084.0,19651.0,0.4312
LightGBM,81,30296.0,23086.0,0.372,25697.0,19416.0,0.4479
LightGBM,82,30319.0,23176.0,0.3712,25875.0,19467.0,0.4403
LightGBM,83,30295.0,23070.0,0.372,25598.0,19497.0,0.4522
LightGBM,84,30315.0,23120.0,0.3711,25396.0,19189.0,0.4608
LightGBM,85,30169.0,23007.0,0.3769,25616.0,19205.0,0.4514
LightGBM,86,30204.0,23049.0,0.3758,25493.0,19186.0,0.4567
LightGBM,87,30220.0,22937.0,0.3748,25506.0,19320.0,0.4561
LightGBM,88,30031.0,22807.0,0.3827,25543.0,19346.0,0.4545
LightGBM,89,30110.0,22882.0,0.3791,25505.0,19339.0,0.4562
LightGBM,90,30122.0,22875.0,0.3789,25364.0,19213.0,0.4622
LightGBM,91,30066.0,22831.0,0.3803,25535.0,19375.0,0.4549
LightGBM,92,30272.0,22935.0,0.3728,25588.0,19481.0,0.4527
LightGBM,93,30204.0,22984.0,0.3754,25384.0,19355.0,0.4613
